epoch,train_loss,train_acc,val_loss,val_acc
0,2.873620751275623,0.3055865355368549,2.306474974941528,0.4439077340569878
1,1.5657174921683603,0.645341174084964,1.6098601876185092,0.595549525101764
2,1.1359147036352373,0.7401399168609957,1.357244769210246,0.6471099050203528
3,0.9269783552152492,0.7843455338132415,1.1747221092291409,0.6844504748982361
4,0.8029566100387512,0.808374733853797,1.061361212888922,0.707842605156038
5,0.7166960881461143,0.8292608739734361,0.9573180447634072,0.7322116689280869
6,0.661488396817091,0.837067829260874,0.937770844123742,0.7382903663500678
7,0.6034929759964357,0.8489303457365913,0.9114528494547633,0.7416553595658073
8,0.5769169244963971,0.8519720166278009,0.8456738149100761,0.7616824966078698
9,0.5612042192167628,0.8572442461725641,0.8067210872073025,0.7685210312075984
10,0.5286679379320962,0.8615025854202575,0.7614927699866741,0.7799728629579376
11,0.49574301862383086,0.8741762141336308,0.7432512790700636,0.7844776119402985
12,0.48090953759461547,0.8746831592821657,0.7348503670343065,0.7870827679782904
13,0.4697956113415002,0.8732637128662679,0.7204636314798404,0.7919131614654003
14,0.4484293893784886,0.8855317854608131,0.695196293202637,0.7947896879240163
15,0.4329229595543199,0.8819831694210687,0.704430981206441,0.7940841248303935
16,0.42791256991443655,0.8827942816587245,0.6946103193510824,0.7987516960651289
17,0.42094210956427336,0.8862415086687621,0.6878965308934734,0.799023066485753
18,0.40162776143920964,0.8951637432829768,0.6861674302646554,0.8005970149253732
19,0.3906799015705863,0.8921220723917672,0.6703616874415321,0.8040705563093623
20,0.3793236999528398,0.8965831896988746,0.6458154156444192,0.8117232021709634
21,0.38199541797954184,0.8960762445503396,0.6450201004751663,0.8118317503392131
22,0.38205372511851043,0.8948595761938558,0.6306805699683594,0.815359565807327
23,0.3606073578666096,0.8992193044712562,0.6281313139645022,0.818236092265943
24,0.3549389330058169,0.9049984791645544,0.6342928149192272,0.8150881953867029
25,0.3836894509825687,0.8801581668863429,0.4946580791942462,0.8517774762550882
26,0.27876859155798833,0.9118929331846294,0.4430851453437572,0.8678968792401628
27,0.23199387453855275,0.9309540707695427,0.46302372646784684,0.8676797829036635
28,0.19656521258991871,0.9408901956808273,0.35282748533071623,0.8973677069199457
29,0.19507204958114577,0.943323532393795,0.3195637010735443,0.910393487109905
30,0.1719966006783377,0.9496096522356281,0.2594424790427028,0.9292265943012211
31,0.13949865381363277,0.9579235526716009,0.24703546523077355,0.9291723202170963
32,0.12401607045459057,0.9669471763155226,0.24506368041604637,0.9298778833107191
33,0.12213770904249033,0.9660346750481598,0.27962425835258764,0.9298778833107191
34,0.11986952355943051,0.9685694007908344,0.3956745805119239,0.9014925373134328
35,0.22926752415968102,0.9392679712055155,0.4737846817413858,0.8884124830393487
36,0.16116395385103338,0.9551860488695123,0.3951854907786992,0.8992130257801899
37,0.14839879570608822,0.9625874480381222,0.369663344319187,0.9134328358208955
38,0.11428310139164083,0.9727263510088209,0.2886289042760106,0.9308005427408412
39,0.10931349385646467,0.9752610767514955,0.19672790665396842,0.9489823609226594
40,0.09782511156011187,0.9750582986920815,0.2887145720909538,0.9301492537313433
41,0.10912577712268746,0.9764777451079794,0.3398361208383878,0.9245047489823609
42,0.12240468305082843,0.9728277400385278,0.22273318848745793,0.9483853459972863
43,0.12103021106492261,0.972016627800872,0.4068741004292321,0.9218995929443691
44,0.13036425025688156,0.9704957923552672,0.3299259596124918,0.9291723202170963
45,0.11956224746833669,0.9740444083950116,0.40021001688984387,0.9182089552238806
46,0.10574418551102657,0.9768833012268072,0.2909353684149733,0.9370963364993216
47,0.08480431513697842,0.9820541417418636,0.23986509002937229,0.9489280868385346
48,0.09825318426492066,0.9810402514447937,0.3218648677247512,0.9387788331071913
49,0.10261274282122244,0.9810402514447937,0.33516824695116143,0.9351424694708277
50,0.08489658744804317,0.9850958126330731,0.25633103172847016,0.9483853459972863
51,0.12392865399203339,0.9782013586129981,0.4016509706048823,0.927055630936228
52,0.09051288152023852,0.9836763662171752,0.4048179567054298,0.9349253731343283
53,0.09994558734220822,0.9829666430092264,0.25526887759586525,0.9484396200814111
54,0.08614832222685301,0.985298590692487,0.2405196186483634,0.9547896879240163
55,0.08677091421322444,0.9846902565142451,0.3156200515269586,0.9414925373134329
56,0.08503206733708255,0.9839805333062963,0.3577896817200381,0.9357394843962008
57,0.11236811931532395,0.9800263611477238,0.3725166500172751,0.9337313432835821
58,0.08013567580759048,0.9851972016627801,0.20140888792486655,0.9623880597014925
59,0.08585471904121886,0.9866166480786779,0.3151200807062224,0.9479511533242877
60,0.0890139905673718,0.9863124809895569,0.2563745584121553,0.9563636363636364
61,0.06720496421168255,0.9889485957619386,0.3119898164692857,0.9489823609226594
62,0.08480217931092444,0.9871235932272128,0.34914906655755423,0.9438805970149253
63,0.09466924933745172,0.9888472067322316,0.3326878031946749,0.946865671641791
64,0.0700521807780337,0.9897597079995945,0.43196592868264044,0.9348168249660787
65,0.05308638234947318,0.9906722092669573,0.2596986686301846,0.9581546811397558
66,0.06987491102913164,0.9875291493460407,0.5011460719842924,0.9243419267299864
67,0.05441708865954235,0.9909763763560783,0.3017861342559514,0.9518046132971506
68,0.08551566592097272,0.9891513738213525,0.3542374563783286,0.9462143826322931
69,0.08807454626011256,0.9871235932272128,0.33649410452577444,0.9451289009497965
70,0.10048386714140106,0.985602757781608,0.26623733661553267,0.9594029850746268
71,0.0858931229006479,0.9886444286728177,0.3625115144560101,0.9444776119402986
72,0.07513466384630108,0.9889485957619386,0.2645035534717011,0.9585345997286295
73,0.06039145615767311,0.9899624860590084,0.30630160828134906,0.9526187245590231
74,0.055606201854618016,0.9904694312075434,0.3517976464830551,0.9455630936227951
75,0.06684379000868261,0.9907735982966643,0.31507672021718974,0.9510990502035278
